,Temperatura - Celsius,Humidade - %,Velocidade Vento - Km/h,Direção Vento - Graus,Chuva Agora - mm,Chuva Acumulada - mm,Sensação Térmica
0,25.38,82.25,0.0,0.0,0.0,585.0,25.0
1,25.4,82.28,0.0,0.0,0.0,585.0,25.0
2,25.38,82.25,0.0,0.0,0.0,585.0,25.0
3,25.42,82.2,0.0,0.0,0.0,585.0,25.0
4,25.44,82.2,0.0,0.0,0.0,585.0,25.0
5,25.42,82.17,0.0,0.0,0.0,585.0,25.0
6,25.44,82.27,0.0,0.0,0.0,585.0,25.0
7,25.44,82.15,0.0,0.0,0.0,585.0,25.0
8,25.44,82.15,0.0,0.0,0.0,585.0,25.0
9,25.44,82.05,0.0,0.0,0.0,585.0,25.0
10,25.47,81.89,0.0,0.0,0.0,585.0,25.0
11,25.44,81.97,0.0,0.0,0.0,585.0,25.0
12,25.44,81.99,0.0,0.0,0.0,585.0,25.0
13,25.44,81.97,0.0,0.0,0.0,585.0,25.0
14,25.42,81.95,0.0,0.0,0.0,585.0,25.0
15,25.45,81.89,0.0,0.0,0.0,585.0,25.0
16,25.45,81.79,0.0,0.0,0.0,585.0,25.0
17,25.44,81.85,0.0,0.0,0.0,585.0,25.0
18,25.44,81.8,0.0,0.0,0.0,585.0,25.0
19,25.45,81.74,0.0,0.0,0.0,585.0,25.0
20,25.47,81.75,0.0,0.0,0.0,585.0,25.0
21,25.45,81.8,0.0,0.0,0.0,585.0,25.0
22,25.44,81.66,0.0,0.0,0.0,585.0,25.0
23,25.44,81.53,0.0,0.0,0.0,585.0,25.0
24,25.48,81.53,0.0,0.0,0.0,585.0,25.0
25,25.45,81.55,0.0,0.0,0.0,585.0,25.0
26,25.44,81.54,0.0,0.0,0.0,585.0,25.0
27,25.44,81.63,0.0,0.0,0.0,585.0,25.0
28,25.44,81.56,0.0,0.0,0.0,585.0,25.0
29,25.47,81.63,0.0,0.0,0.0,585.0,25.0
30,25.44,81.65,0.0,0.0,0.0,585.0,25.0
31,25.45,81.58,0.0,0.0,0.0,585.0,25.0
32,25.45,81.47,0.0,0.0,0.0,585.0,25.0
33,25.47,81.48,0.0,0.0,0.0,585.0,25.0
34,25.45,81.5,0.0,0.0,0.0,585.0,25.0
35,25.48,81.48,0.0,0.0,0.0,585.0,25.0
36,25.48,81.46,0.0,0.0,0.0,585.0,25.0
37,25.5,81.37,0.0,0.0,0.0,585.0,25.0
38,25.5,81.38,0.0,0.0,0.0,585.0,25.0
39,25.52,81.29,0.0,0.0,0.0,585.0,25.0
40,25.51,81.31,0.0,0.0,0.0,585.0,25.0
41,25.51,81.29,0.0,0.0,0.0,585.0,25.0
42,25.52,81.27,0.0,0.0,0.0,585.0,25.0
43,25.52,81.3,0.0,0.0,0.0,585.0,25.0
44,25.52,81.18,0.0,0.0,0.0,585.0,25.0
45,25.55,81.06,0.0,0.0,0.0,585.0,25.0
46,25.52,81.04,0.0,0.0,0.0,585.0,25.0
47,25.55,80.96,0.0,0.0,0.0,585.0,25.0
48,25.52,81.01,0.0,0.0,0.0,585.0,25.0
49,25.57,80.97,0.0,0.0,0.0,585.0,25.0
50,25.55,81.46,0.0,0.0,0.0,585.0,25.0
51,25.57,81.16,0.0,0.0,0.0,585.0,25.0
52,25.58,81.1,0.0,0.0,0.0,585.0,25.0
53,25.57,81.02,0.0,0.0,0.0,585.0,25.0
54,25.6,80.96,0.0,0.0,0.0,585.0,25.0
55,25.61,80.89,0.0,0.0,0.0,585.0,25.0
56,25.65,80.82,0.0,0.0,0.0,585.0,25.0
57,25.7,80.65,0.0,0.0,0.0,585.0,25.0
58,25.71,80.62,0.0,0.0,0.0,585.0,25.0
59,25.75,80.68,0.0,0.0,0.0,585.0,25.0
60,25.78,80.54,0.0,0.0,0.0,585.0,25.0
61,25.82,80.28,0.0,0.0,0.0,585.0,25.0
62,25.86,80.23,0.0,0.0,0.0,585.0,25.0
63,25.89,80.17,0.0,0.0,0.0,585.0,25.0
